Time,Week,cap4-SMA,cap3-AC,cap2-FSS,cap1-subsoil,cnd4-SMA,cnd3-AC,cnd2-FSS,cnd1-subsoil
0,0,540,980,1000,1000,0.5,0.5,2.3,2.5
604800,1,540,980,1000,1000,0.5,0.5,2.3,2.5
1209600,2,620,990,300,300,2.3,1.9,2.5,0.5
1814400,3,650,310,300,1000,1.3,0.5,2.3,2.5
2419200,4,310,300,330,550,1,0.5,0.8,2.2
3024000,5,310,300,330,550,1,0.5,0.8,2.2
3628800,6,750,680,500,650,2.4,1,1.9,2.5
4233600,7,650,610,440,500,1.9,0.9,1.6,2.5
4838400,8,650,610,440,500,1.9,0.9,1.6,2.5
5443200,9,960,590,360,320,2.4,0.7,1.5,2.4
6048000,10,960,590,360,320,2.4,0.7,1.5,2.4
6652800,11,430,320,300,730,2.5,0.5,0.9,1.4
7257600,12,340,750,1000,1000,0.8,0.5,2.5,2.5
7862400,13,390,560,400,380,1.6,0.8,1.6,2.5
8467200,14,390,560,400,380,1.6,0.8,1.6,2.5
9072000,15,390,560,400,380,1.6,0.8,1.6,2.5
9676800,16,470,740,480,530,2,1,1.8,2.4
10281600,17,470,740,480,530,2,1,1.8,2.4
10886400,18,470,740,480,530,2,1,1.8,2.4
11491200,19,490,770,620,390,1.7,1.2,2,2.3
12096000,20,490,770,620,390,1.7,1.2,2,2.3
12700800,21,490,770,620,390,1.7,1.2,2,2.3
13305600,22,450,480,440,310,1.1,0.7,1.4,2.4
13910400,23,450,480,440,310,1.1,0.7,1.4,2.4
14515200,24,300,300,480,320,0.7,0.5,0.9,2.5
15120000,25,310,410,410,350,0.9,0.7,1.4,2.5
15724800,26,310,410,410,350,0.9,0.7,1.4,2.5
16329600,27,310,410,410,350,0.9,0.7,1.4,2.5
16934400,28,310,410,410,350,0.9,0.7,1.4,2.5
17539200,29,310,410,410,350,0.9,0.7,1.4,2.5
18144000,30,310,410,410,350,0.9,0.7,1.4,2.5
18748800,31,310,410,410,350,0.9,0.7,1.4,2.5
19353600,32,310,410,410,350,0.9,0.7,1.4,2.5
19958400,33,310,410,410,350,0.9,0.7,1.4,2.5
20563200,34,300,300,670,510,0.8,2.2,2.5,2.5
21168000,35,850,330,990,940,2.5,0.5,2.5,0.8
21772800,36,850,330,990,940,2.5,0.5,2.5,0.8
22377600,37,340,310,600,420,0.8,1.6,2.4,2.5
22982400,38,340,310,600,420,0.8,1.6,2.4,2.5
23587200,39,340,310,600,420,0.8,1.6,2.4,2.5
24192000,40,340,310,600,420,0.8,1.6,2.4,2.5
24796800,41,340,310,600,420,0.8,1.6,2.4,2.5
25401600,42,340,310,600,420,0.8,1.6,2.4,2.5
26006400,43,340,310,600,420,0.8,1.6,2.4,2.5
26611200,44,340,310,600,420,0.8,1.6,2.4,2.5
27216000,45,340,310,600,420,0.8,1.6,2.4,2.5
27820800,46,340,310,600,420,0.8,1.6,2.4,2.5
28425600,47,820,990,1000,320,2.5,0.5,0.5,0.9
29030400,48,670,920,1000,1000,2.3,0.5,2.3,0.5
29635200,49,350,1000,1000,1000,0.7,0.5,2.5,1.9
30240000,50,300,300,300,920,0.7,1.1,2.5,2.5
30844800,51,300,420,780,470,1.7,1.4,2,1.1
31449600,52,970,440,350,560,2.5,0.6,1.3,1.1
